Date,UAL_Open,UAL_High,UAL_Low,UAL_Close,UAL_Adj Close,UAL_Volume,oil_Close/Last,oil_Volume,oil_Open,oil_High,oil_Low
11/6/17,59.439999,60.790001,59.259998,59.919998,59.919998,3948900,57.35,827403,55.97,57.61,55.66
11/7/17,60.009998,60.189999,58.639999,58.709999,58.709999,3681300,57.2,707201,57.27,57.69,56.83
11/8/17,58.549999,59.299999,58.389999,58.919998,58.919998,2651400,56.81,865225,56.96,57.92,56.41
11/9/17,58.419998,58.98,57.93,58.389999,58.389999,3571100,57.17,8426,57.02,57.08,56.97
11/10/17,58.34,59.18,58.290001,58.52,58.52,3180000,56.74,501547,57.02,57.35,56.55
11/13/17,58.220001,58.549999,57.720001,57.810001,57.810001,4480000,56.76,583564,56.9,57.15,56.3
11/14/17,57.700001,57.990002,56.599998,57.200001,57.200001,5187700,55.7,667148,56.72,56.77,54.81
11/15/17,56.990002,57.689999,56.509998,57.490002,57.490002,4940200,55.33,465842,55.06,55.56,54.88
11/16/17,58.07,58.759998,57.59,58.68,58.68,3133300,55.14,196871,55.3,55.62,54.93
11/17/17,58.41,58.59,57.799999,58.200001,58.200001,4260100,56.55,133497,55.25,56.68,55.18
11/20/17,58.259998,58.830002,57.82,58.759998,58.759998,3108400,56.09,26588,56.69,56.76,55.57
11/21/17,58.860001,59.77,58.779999,59.709999,59.709999,2871200,56.83,608997,56.38,57.22,56.32
11/22/17,59.389999,60,59.27,59.689999,59.689999,1804600,58.02,14456,58.05,58.06,57.85
11/24/17,59.619999,59.75,59.25,59.43,59.43,1196700,58.95,560402,58.54,59.05,57.75
11/27/17,59.439999,59.540001,58.93,59.09,59.09,2896300,58.11,673114,58.95,58.99,57.55
11/28/17,59.16,60.380001,59,60.189999,60.189999,4149400,57.99,526879,57.86,58.11,57.42
11/29/17,60.599998,62.290001,60.389999,62.09,62.09,6093300,57.3,725413,57.73,58.3,56.75
11/30/17,62.25,63.84,62.080002,63.32,63.32,4993000,57.4,718897,57.41,57.98,56.82
12/1/17,63.200001,63.490002,61.84,62.57,62.57,4461900,58.36,658486,57.42,58.88,57.29
12/4/17,63.689999,64.330002,62.549999,62.59,62.59,5054300,57.47,510174,58.32,58.34,57.35
12/5/17,62.59,62.720001,61.84,62.200001,62.200001,2635100,57.62,474688,57.48,57.92,57.08
12/6/17,62.16,62.599998,61.779999,62.189999,62.189999,3078600,55.96,645773,57.45,57.57,55.87
12/7/17,62.279999,63.779999,61.84,63.529999,63.529999,3790500,56.69,505307,56,56.78,55.82
12/8/17,65.230003,65.290001,63.380001,63.549999,63.549999,5162000,57.36,630395,56.65,57.79,56.54
12/11/17,63.689999,64.690002,63.48,64.239998,64.239998,4067600,57.99,571952,57.25,58.08,56.91
12/12/17,64.449997,64.519997,63.360001,63.360001,63.360001,2827900,57.14,786025,58.02,58.56,56.85
12/13/17,63.52,63.740002,62.450001,63.029999,63.029999,3727300,56.6,615421,57.45,57.83,56.55
12/14/17,63.5,64.040001,62.709999,63.130001,63.130001,5827700,57.04,556094,56.7,57.22,56.09
12/15/17,63.619999,64.470001,63.259998,63.759998,63.759998,6744300,57.3,193136,57.15,57.49,56.94
12/18/17,64.120003,64.760002,63.709999,64.559998,64.559998,3710100,57.16,93628,57.37,57.78,56.82
12/19/17,64.830002,64.989998,64.330002,64.43,64.43,3339400,57.46,25737,57.3,57.64,57.16
12/20/17,65.330002,66.269997,65.040001,65.900002,65.900002,4566600,58.09,410808,57.66,58.12,57.44
12/21/17,66.169998,67.629997,66.150002,67.279999,67.279999,4555000,58.36,391675,58.02,58.38,57.63
12/22/17,67.440002,67.480003,67.110001,67.25,67.25,2154600,58.47,305799,58.21,58.5,57.87
12/26/17,66.940002,67.720001,66.480003,67.349998,67.349998,2347300,59.97,424001,58.4,60.01,58.32
12/27/17,67.620003,67.620003,66.610001,67.120003,67.120003,2939900,59.64,386699,59.79,59.93,59.33
12/28/17,67.120003,67.57,66.879997,67.540001,67.540001,2454400,59.84,330877,59.53,59.94,59.44
12/29/17,67.68,67.989998,67.370003,67.400002,67.400002,3079500,60.42,437842,59.91,60.51,59.82
1/2/18,67.900002,69.010002,67.379997,68.940002,68.940002,3390600,60.37,493673,60.2,60.74,60.1
1/3/18,68.940002,69.370003,67.82,68.489998,68.489998,4590900,61.63,659380,60.39,61.97,60.28
1/4/18,68.690002,69.370003,67.639999,69.260002,69.260002,3922900,62.01,636530,61.96,62.21,61.59
1/5/18,69.400002,69.400002,68.769997,69.360001,69.360001,2675900,61.44,546178,61.9,62.04,61.09
1/8/18,69.370003,69.370003,68.010002,68.510002,68.510002,4277900,61.73,569682,61.61,61.97,61.34
1/9/18,68.5,69.760002,68.389999,68.480003,68.480003,3057000,62.96,802667,61.92,63.48,61.8
1/10/18,70.980003,73.150002,70.449997,73.080002,73.080002,9380400,63.57,660128,63.41,63.67,63.09
1/11/18,73.610001,77.089996,73.25,76.449997,76.449997,6913400,63.8,831247,63.5,64.77,63.43
1/12/18,76.739998,78.839996,76.480003,78.400002,78.400002,4479300,64.3,17427,64.43,64.45,64.18
1/16/18,78.349998,79,76.800003,77.489998,77.489998,3912400,63.73,841948,64.8,64.89,63.39
1/17/18,77.529999,77.610001,76.480003,76.580002,76.580002,2950400,63.97,427119,63.89,64.17,63.31
1/18/18,76.599998,77.099998,75.989998,76.300003,76.300003,3442200,63.95,185978,64.07,64.35,63.47
1/19/18,76.82,76.839996,75.800003,76.5,76.5,3994600,63.37,95546,63.74,63.77,62.85
1/22/18,76.599998,76.879997,75.5,76.870003,76.870003,3010700,63.49,29710,63.61,64.14,63.17
1/23/18,77.099998,78.209999,76.400002,77.970001,77.970001,5115800,64.47,646028,63.88,64.88,63.7
1/24/18,71.43,72,68.07,69.050003,69.050003,27117200,65.61,868414,64.42,66.05,64.34
1/25/18,69.360001,69.400002,65.800003,66.080002,66.080002,16960300,65.51,751913,65.88,66.66,65.08
1/26/18,66.330002,66.769997,65.440002,66.559998,66.559998,6503500,66.14,664321,65.25,66.35,64.91
1/29/18,66.220001,66.75,65.459999,65.779999,65.779999,5414800,65.56,640550,66.18,66.46,64.98
1/30/18,66.260002,67.519997,65.779999,67.010002,67.010002,7802300,64.5,669430,65.53,65.56,63.89
1/31/18,67.739998,69.089996,67.32,67.82,67.82,6234800,64.73,594354,64.03,64.94,63.67
2/1/18,67.220001,67.949997,66.230003,67.150002,67.150002,5603300,65.8,668623,64.76,66.25,64.63
2/2/18,66.629997,66.889999,65.480003,65.68,65.68,4189800,65.45,836409,65.99,66.3,64.47
2/5/18,65,65.440002,63.279999,63.400002,63.400002,5433800,64.15,872742,65.1,65.4,63.42
2/6/18,62.16,64.220001,61.959999,63.950001,63.950001,4670800,63.39,773274,63.43,64.29,63.12
2/7/18,63.84,66.580002,63.75,65.360001,65.360001,5694900,61.79,975908,63.92,64.18,61.25
2/8/18,65.169998,65.669998,63.330002,63.369999,63.369999,4634300,61.15,882388,61.7,62.09,60.27
2/9/18,64.239998,64.519997,60.439999,62.98,62.98,6070000,59.2,878528,60.43,60.77,58.07
2/12/18,63.330002,64.830002,62.970001,64.139999,64.139999,3279800,59.29,699404,59.12,60.83,59.1
2/13/18,63.830002,65.75,63.66,65.699997,65.699997,3151100,59.19,552427,59.35,59.73,58.39
2/14/18,65.400002,66.32,65.160004,65.68,65.68,2747600,60.6,626751,58.98,60.9,58.2
2/15/18,66,66.760002,65.639999,66.739998,66.739998,3722300,61.34,316242,60.71,61.64,59.72
2/16/18,67.050003,67.510002,66.510002,66.519997,66.519997,3309700,61.68,3363,61.63,62.52,61.63
2/20/18,66.099998,66.720001,65.779999,66.589996,66.589996,3391500,61.9,40936,62.5,62.74,61.58
2/21/18,66.389999,68.519997,66.360001,67,67,3376100,61.68,458438,61.63,61.86,60.92
2/22/18,67.5,67.730003,66.449997,66.699997,66.699997,2534600,62.77,579428,61.34,63.09,60.75
2/23/18,67.010002,67.68,66.739998,67.57,67.57,2656700,63.55,447649,62.6,63.73,62.33
2/26/18,68.260002,69.480003,68.25,69.260002,69.260002,4628300,63.91,459462,63.6,64.24,63.06
2/27/18,69,69.400002,67.790001,67.860001,67.860001,3531100,63.01,549537,64.06,64.08,62.64
2/28/18,68,68.610001,67.330002,67.790001,67.790001,3042600,61.64,747504,62.79,63.44,61.36
3/1/18,67.779999,69.339996,67.019997,67.540001,67.540001,4109100,60.99,798419,61.55,61.83,60.18
3/2/18,66.870003,67.690002,65.669998,67.510002,67.510002,3234600,61.25,598959,61.34,61.6,60.13
3/5/18,66.82,67.919998,66.410004,67.209999,67.209999,3036200,62.57,587885,61.55,62.79,61.1
3/6/18,67.209999,67.809998,66.290001,67.519997,67.519997,2472000,62.6,609507,62.58,63.28,62.17
3/7/18,66.809998,67.910004,66.529999,67.809998,67.809998,2734100,61.15,841910,62.3,62.58,60.58
3/8/18,68.32,70.550003,68.050003,69.870003,69.870003,7131600,60.12,682133,61.33,61.4,59.95
3/9/18,70.5,71.639999,69.730003,71.550003,71.550003,5646100,62.04,622050,60.27,62.18,60.14
3/12/18,71.82,72.099998,70.400002,72,72,3738300,61.36,514573,62.1,62.33,60.67
3/13/18,72.870003,73.410004,72.470001,72.599998,72.599998,4832200,60.71,715240,61.37,61.97,60.27
3/14/18,72.349998,73.239998,70.440002,70.739998,70.739998,4138900,60.96,644826,60.87,61.33,60.11
3/15/18,70.980003,71.419998,69.93,70.139999,70.139999,3463500,61.19,410630,60.95,61.54,60.82
3/16/18,70.419998,71.449997,70.099998,70.879997,70.879997,5085200,62.34,183779,61.19,62.54,61.08
3/19/18,71.029999,71.099998,69.510002,70.129997,70.129997,2237900,62.06,82779,62.23,62.35,61.36
3/20/18,70.43,70.959999,70.080002,70.480003,70.480003,2018700,63.4,26171,62.1,63.81,62.08
3/21/18,69.120003,70.639999,68.809998,69.940002,69.940002,2619500,65.17,743982,63.72,65.55,63.58
3/22/18,69.459999,70.489998,68.440002,68.449997,68.449997,3475500,64.3,670939,65.5,65.74,64.14
3/23/18,68.75,68.980003,67.330002,67.389999,67.389999,2899300,65.88,729028,64.28,66,64.11
3/26/18,68.389999,68.68,67.32,68.480003,68.480003,2693700,65.55,570680,65.9,66.55,65.08
3/27/18,68.720001,69.910004,67.809998,68.18,68.18,3481500,65.25,654651,65.53,66.41,64.53
3/28/18,68.370003,68.690002,67.230003,67.910004,67.910004,3062000,64.38,678843,64.7,65.13,63.72
3/29/18,68.07,70.040001,68.07,69.470001,69.470001,3003800,64.94,535282,64.69,65.26,64.16
4/2/18,69.120003,69.300003,65.599998,66.769997,66.769997,3988800,63.01,567607,64.91,65.42,62.8
4/3/18,67.160004,69.610001,67.07,69.190002,69.190002,4385300,63.51,508537,62.89,63.86,62.86
4/4/18,68.25,70.129997,67.940002,69.989998,69.989998,3147600,63.37,744010,63.59,63.64,62.06
4/5/18,70.230003,71.209999,69.860001,70.690002,70.690002,3151100,63.54,575864,63.6,64.12,63.07
4/6/18,70.290001,70.550003,68,68.629997,68.629997,3699800,62.06,702077,63.7,63.79,61.81
4/9/18,69.279999,69.730003,68.279999,68.519997,68.519997,5259400,63.42,616253,62,63.61,61.93
4/10/18,69.260002,69.5,66.580002,67.589996,67.589996,5342700,65.51,795630,63.3,65.86,63.2
4/11/18,67.019997,67.870003,64.800003,64.870003,64.870003,5370100,66.82,923815,65.59,67.45,65.15
4/12/18,65.639999,66.879997,65.32,66.099998,66.099998,4800400,67.07,657000,66.75,67.33,66
4/13/18,66.720001,67.32,66.129997,66.540001,66.540001,2665900,67.39,605619,67.18,67.76,66.7
4/16/18,66.75,68.18,66.709999,67.309998,67.309998,2831800,66.22,543828,67.24,67.74,66.13
4/17/18,67.739998,68.239998,66.75,67.339996,67.339996,4754100,66.52,472785,66.42,66.75,65.56
